name,title,description,ingredients,recipe,image
abrikosovaja_zapekanka,Абрикосовая запеканка,"['Воздушная рисовая запеканка со взбитыми белками и абрикосами', 'Время готовки: 50 минут', 'Количество порций: 4 ']","{'Молоко': '1000 мл', 'Абрикосы консервированные': '800 гр (без жидкости, нарезанные)', 'Белый рис': '250 гр', 'Яйца': '4 шт', 'Сахарная пудра': '6 столовых ложек', 'Яичный белок': '2 шт', 'Масло сливочное': '3 столовые ложки', 'Цедра лимона': '2 кофейные ложки (мелко нарезанная)', 'Ваниль': '0.5 кофейные ложки (молотая)'}","[' Молоко вылить в кастрюлю и довести до кипения. Высыпать в молоко рис и варить около получаса на слабом огне. Следить, чтобы молоко не испарилось полностью.', ' Рис остудить.', ' Форму для выпечки смазать сливочным маслом.', ' Отделить белки от желтков, к желткам добавить сливочное масло, половину сахара и цедру лимона, полученную массу добавить в рис.', ' Яичные белки хорошо взбить. Половину белков добавить в рис и перемешать, вторую половину перемешать с остатком сахара.  ', ' На дно формы для выпечки выложить половину приготовленного риса. Сверху на рис положить абрикосы, затем выложить остаток риса и сверху вылить взбитые белки с сахаром.', ' Запеканку поставить в разогретую духовку и запекать около 25 минут пока поверхность не станет слегка золотистой.']",image
abrikosovye_blintchiki,Абрикосовые блинчики,"['Блинчики с абрикосовым джемом и сахарной пудрой', 'Время готовки: 40 минут', 'Количество порций: 4 ']","{'Молоко': '300 мл (горячее)', 'Яйца': '2 шт (взбитое)', 'Масло сливочное': '60 гр (мягкое в тесто и немного добавить на смазывание)', 'Сахар': '60 гр', 'Гладкая мука': '60 гр', 'Абрикосовый джем': ' (при употреблении)', 'Сахарная пудра': ' (на присыпку)'}","[' В миске взбить в пену сливочное масло с сахаром. Добавить яйцо, муку и горячее молоко. Все хорошо перемешать. ', ' Смазать форму с круглыми углублениями маслом и залить тесто в углубления. Запекать в разогретой духовке около 20 минут до золотистого цвета.', ' Блинчики выложить на тарелки, намазать джемом, свернуть и посыпать сахарной пудрой.']",image
apelsinovyj_desert,Апельсиновый десерт,"['Апельсины в карамели с ликером', 'Время готовки: 30 минут', 'Количество порций: 4 ']","{'Апельсины': '8 шт (с тонкой кожурой)', 'Сахар': '250 гр (кристаллический)', 'Вода': '150 мл (чуть теплая)', 'Апельсиновый ликер': '3 столовые ложки'}","[' Сахар и холодную воду поместить в чугунную сковородку и нагреть, так, чтобы сахар растворился. Затем варить смесь, пока она не станет коричневого цвета, но не пережигать. ', ' В карамель добавить теплую воду. Снова поставить карамель на плиту и немного поварить, затем вылить в жаропрочную миску.', ' Карамель остудить, после 30 минут добавить к ней апельсиновый ликер.', ' Корку 1 хорошо вымытого апельсина нарезать полосками. На 1 минуту положить в кипящую воду, затем слить воду, сполоснуть и отставить в сторону.', ' Почистить апельсины, убрать сердцевину, разделить на дольки, которые снова сложить вместе и скрепить зубочистками в форме шара.', ' Апельсины положить в миску с карамелью, полить карамелью сверху. Украсить блюдо нарезанной коркой и поставить на 30 минут в холодильник. Затем выложить апельсины на тарелочки, убрать зубочистки и подавать к столу.']",image
aromatnyj_malinovyj_pirog,Ароматный малиновый пирог,"['Запеченный в духовке пирог с малиной и медом', 'Время готовки: 20 минут', 'Количество порций: 4 ']","{'Замороженная малина': '600 гр', 'Яйца': '2 шт', 'Мед': '100 гр', 'Гладкая мука': '125 гр', 'Молоко': '250 мл', 'Соль': '', 'Масло сливочное': '1 столовая ложка', 'Сахар': '2 столовые ложки'}","[' Малину разморозить.', ' Взбить яйца с медом, понемногу добавить муку и молоко, замешивая тесто. Взбитое тесто посолить щепоткой соли.', ' Разогреть духовку.', ' В сковороде растопить масло, вылить в нее тесто и поставить на 2 минуты в духовку, чтобы тесто немного уплотнилось. ', ' Сверху на тесто равномерно разложить слегка осушенную малину и запекать в духовке еще 3-5 минут, пока края теста не станут золотистыми.', ' Горячий пирог посыпать сверху сахаром, нарезать и еще не остывшим подавать к столу.']",image
babushkiny_bulotchki,Бабушкины булочки,"['Недорогой ужин - традиционные булочки из дрожжевого теста', 'Время готовки: 40 минут', 'Количество порций: 18 ']","{'Гладкая мука': '500 гр', 'Соль': '1 кофейная ложка', 'Дрожжи': '1 кофейная ложка (сушенные)', 'Вода': '350 мл (чуть теплая)', 'Растительное масло': '2 столовые ложки (на промазывание)'}","[' В большую миску высыпать муку, соль и дрожжи. Залить водой и замесить плотное тесто.', ' Миску смазать растительным маслом. Замесить тесто так, чтобы оно было гладким и упругим. Миску с тестом в форме шара накрыть полотенцем и оставить в теплом месте подниматься на 80 минут. Объем теста должен увеличиться в два раза. ', ' Тесто разделить на 18 одинаковых частей и слепить из них булочки, которые выложить на обмазанный маслом противень и оставить еще на 20 минут в теплом месте подняться.', ' Затем поставить противень в горячую духовку и запекать до золотистого цвета около 20 минут. Булочки можно подавать горячими или холодными со сливочным маслом.']",image
baklazhan_s_sousom_pesto,Баклажан с соусом песто,"['Кусочки баклажана, приготовленные на гриле, с соусом песто и базиликом', 'Время готовки: 25 минут', 'Количество порций: 4 ']","{'Баклажаны': '1 шт (большой)', 'Оливковое масло': '80 мл', 'Винный уксус': '2 столовые ложки', 'Свежий базилик': '2 столовые ложки (нарезанный на украшение)', 'Песто из базилика': '1 шт (большой кусок)', 'Соль': ''}","[' Баклажан вымыть и нарезать на тонкие ломтики, посолить и оставить на пол часа настоятся. Затем ломтики осушить бумажным полотенцем.', ' Противень для гриля смазать маслом, выложить на него колечки баклажана, которые сверху сбрызнуть маслом. Запекать баклажан на гриле с каждой стороны около 5 минут до светло-коричневого цвета, после перевертывания каждый ломтик опять сбрызнуть маслом.', ' Кусочки баклажана сбрызнуть уксусом и остудить. Затем смазать их соусом песто и украсить свежим базиликом. Блюдо подавать комнатной температуры.']",image
baklazhan_s_syrom_feta,Баклажан с сыром фета,"['Обжаренные кусочки баклажана с овечьим сыром фета ', 'Время готовки: 20 минут', 'Количество порций: 4 ']","{'Баклажаны': '2 шт (нарезанный вдоль на 1 см толстые полоски)', 'Сыр Фета': '250 гр', 'Оливковое масло': '7 столовых ложек', 'Лимонный сок': '5 столовых ложек', 'Чеснок': '1 шт (3 натертые дольки)', 'Орегано': '1 кофейная ложка', 'Перец острый': '', 'Соль': ''}","[' Ломтики баклажана смазать чесноком и обжарить с обеих сторон на оливковом масле (использовать 4 столовых ложки масла).', ' Баклажаны положить на тарелки, посолить, поперчить и посыпать орегано.', ' В миске перемешать остаток оливкового масла с лимонным соком, солью и перцем и сбрызнуть полученной смесью баклажаны.', ' Сыр фета размять руками и сверху посыпать им баклажаны.', ' Блюдо подавать к столу с белым батоном и с оливками.']",image
blintchiki_s_morozhenym_i_jablokami,Блинчики с мороженым и яблоками,"['Блинчики с ломтиками яблок, карамелью и ванильным мороженым', 'Время готовки: 50 минут', 'Количество порций: 4 ']","{'Мороженое': '500 мл (ванильная)', 'Яблоки': '4 шт (без кожуры, нарезанные ломтиками)', 'Молоко': '250 мл', 'Яйца': '4 шт', 'Гладкая мука': '150 гр', 'Сахарная пудра': '4 столовые ложки', 'Масло сливочное': '3 столовые ложки', 'Лимонный сок': '2 столовые ложки', 'Соль': ''}","[' Муку с молоком, солью, яйцами и 2 столовыми ложками сахарной пудры взбить в миксере в однородное жидкое тесто и оставить на некоторое время настоятся. ', ' Кусочки яблок сбрызнуть лимонным соком.', ' В сковороде растопить сливочное масло (пол ложки на 1 блинчик) и положить на дно тонкие кусочки яблок. Яблоки залить четвертой частью теста и обжарить блинчик с обеих сторон. ', ' Блинчик посыпать сахарной пудрой и положить на 2 мин. на гриль, чтобы из сахара получилась карамель. Повторить с каждым блинчиком.  ', ' Блинчики подавать к столу с шариком ванильного мороженого. ']",image
blintchiki_s_syrom_i_brokkoli,Блинчики с сыром и брокколи,"['Классические блины с начинкой из брокколи и сыра', 'Время готовки: 60 минут', 'Количество порций: 8 ']","{'Гладкая мука': '125 гр (и еще 45 гр в загуститель)', 'Молоко': '125 мл (и 300 мл в начинку)', 'Вода': '125 мл', 'Брокколи': '125 гр (сваренные цветки)', 'Сыр Чедар': '125 гр (натертый)', 'Яйца': '2 шт (взбитое)', 'Яичный белок': '4 шт', 'Яичный желток': '4 шт', 'Масло сливочное': '45 гр (и для смазки блюда для запекания)', 'Подсолнечное масло': '30 мл (и для жарки)', 'Сыр пармезан': '2 столовые ложки', 'Горчица': '1 кофейная ложка (дижонская)', 'Соль': ''}","[' Начинка: сварить брокколи в кипящей подсоленной воде около 5 минут.', ' Разогреть сливочное масло, помешивая, засыпать 45 гр. муки.', ' Постепенно добавить 300 мл. молока, постоянно мешая довести до кипения. Добавить горчицу, тертый сыр чеддер, приправить по вкусу.', ' Взбить 4 яичных белка и вместе с брокколи постепенно добавить в соус.', ' Блинчики: смешать 125 мл. молока, 125 мл. воды и подсолнечное масло. Насыпать в миску 125 гр. муки, щепотку соли, добавить 2 яйца и перемешать до получения жидкого теста. Дать тесту постоять 15 минут.', ' В сковороде разогреть подсолнечное масло и вылить в нее около 3 столовых ложек теста так, чтобы покрыть дно. Каждый блинчик обжарить с обеих сторон до золотисто-коричневого цвета около 1 минуты.', ' Готовые блинчики намазать сырной начинкой, аккуратно загнуть и сложить в намазанную маслом форму для выпечки. Сверху посыпать тертым сыром.', ' Выпекать около 20 минут в предварительно разогретой духовке пока начинка не загустеет.']",image
blintchiki_so_shpinatom_bekonom_i_shampinonami,"Блинчики со шпинатом, беконом и шампиньонами","['Блинчики с начинкой из шпината, шампиньонов и обжаренного бекона', 'Время готовки: 80 минут', 'Количество порций: 4 ']","{'Молоко': '350 мл', 'Английский беконо': '250 гр (нарезанная)', 'Шпинат': '200 гр (размороженный, без лишней воды)', 'Грибы': '200 гр (консервированные, нарезанные)', 'Гладкая мука': '175 гр', 'Яйца': '2 шт', 'Масло сливочное': '60 гр', 'Подсолнечное масло': '1 столовая ложка', 'Мускатный орех': '0.5 кофейные ложки', 'Соль': '', 'Перец острый': ''}","[' Приготовить тесто для блинчиков: в миску насыпать 125 гр. муки, добавить яйца, 250 мл. молока, подсолнечное масло и соль. Миксером взбить жидкое тесто и на некоторое время отставить в сторону.', ' Бекон обжарить на сковороде без жира. Шпинат варить, пока из него не выварится лишняя жидкость.', ' В кастрюле смешать 20 гр. сливочного масла, 100 мл. молока, 50 гр. муки, мускатный орех, добавить нарезанные осушенные шампиньоны и вареный шпинат. Полученную массу варить 5 минут, помешивая, до загустения. ', ' В кастрюлю добавить бекон, перемешать, посолить, поперчить, отставить в сторону.', ' Приготовить блинчики: для каждого блинчика разогреть в сковороде 5 гр. сливочного масла, половником налить тонкий слой теста. Блинчики обжаривать с двух сторон около 2 минут.', ' Готовые блинчики покрыть приготовленной смесью, свернуть и выложить на лист для выпечки. Запекать 15 минут в разогретой духовке. ']",image
borshh,Борщ,"['Традиционный русский суп из картофеля, капусты, свеклы, говядины и свинины, подается со сметаной', 'Время готовки: 150 минут', 'Количество порций: 6 ']","{'Говядина': '500 гр', 'Свинина': '500 гр', 'Картофель': '400 гр (нарезанная на кубики)', 'Капуста': '400 гр (белая, nakrájené мелко)', 'Свекла': '220 гр (обваренная кипятком)', 'Петрушка': '100 гр (нарезанная)', 'Томатный сок': '250 мл', 'Сметана': '250 гр', 'Лук': '6 столовых ложек (нарезанный)', 'Перец острый': '1 кофейная ложка (цельный)', 'Сало': '3 столовые ложки', 'Соль': ''}","[' Мясо положить в кастрюлю, добавить около 2,5 литров воды. Посолить, добавить лук, часть зелени петрушки и перец горошком, варить на слабом огне 2-2,5 часа.', ' За пол часа до конца варки мяса разогреть в другой кастрюле сало и обжарить на нем нарезанную капусту, картофель и остаток зелени петрушки. Добавить часть бульона от мяса и варить в нем овощи около 30 минут, пока не станут мягкими.', ' Свеклу нарезать соломкой и добавить к вареным овощам вместе с небольшим количеством рассола.', ' Когда мясо станет мягким достать его из сковороды на доску, а бульон вылить в кастрюлю с овощами.', ' Мясо нарезать и положить в суп. Добавить томатный сок.', ' Суп прогреть, добавить специи и в конце добавить нарезанный зеленый лук.', ' Суп подавать горячим, сметану подавать отдельно.']",image
brioshi,Бриоши,"['Сдобные булки из муки, масла и яиц, выпеченные в формочках', 'Время готовки: 40 минут', 'Количество порций: 12 ']","{'Мука грубого помола': '275 гр', 'Гладкая мука': '1 столовая ложка (на присыпку)', 'Сахар': '30 гр', 'Масло сливочное': '60 гр', 'Дрожжи': '7 гр (сушенные)', 'Яйца': '3 шт (взбитое)', 'Молоко': '4 столовые ложки (чуть теплое)', 'Растительное масло': '1 столовая ложка (на промазывание)'}","[' В глубокой миске перемешать муку, соль, сахар, растопленное сливочное масло, дрожжи, молоко и 2 яйца. Все ингредиенты замесить в упругое тесто в форме шара.', ' Глубокую миску смазать маслом, положить в нее тесто и накрыть полотенцем. Оставить тесто на 80 минут подниматься, пока объем не увеличится в два раза.', ' Формочки для булок смазать растительным маслом и заполнить тестом на 2/3. Формочки с тестом оставить на 20 минут в теплом месте, пока оно не поднимется.', ' Бриоши смазать взбитым яйцом и запекать в разогретой духовке 12-15 минут до золотистого цвета. Немного остудить и вынуть из формочек.', ' Бриоши лучше всего подавать со сливочным маслом и джемом.']",image
budapeshtskaja_buterbrodnaja_pasta,Будапештская бутербродная паста,"['Бутербродная паста из творога, сметаны, лука и паприки, подается в качестве закуски с черным хлебом', 'Время готовки: 10 минут', 'Количество порций: 4 ']","{'Творога жирный': '750 гр', 'Сметана': '200 мл', 'Лук': '1 шт (мелко нарезанный)', 'Паприка сладкая': '1 столовая ложка', 'Острый перец': '1 кофейная ложка', 'Тмин римский': '1 кофейная ложка', 'Соль': '', 'Перец острый': ''}","[' Творог хорошо взбить вместе со всеми остальными ингредиентами, по вкусу посолить. ', ' Пасту положить в миску, закрыть и положить на несколько часов в холодильник.', ' Творожную пасту подавать в качестве закуски с черным хлебом.']",image
bulotchki_s_gribnoj_natchinkoj,Булочки с грибной начинкой,"['Легкая закуска в виде хлеба, фаршированного грибами', 'Время готовки: 20 минут', 'Количество порций: 6 ']","{'Кондитерские изделия': '6 шт', 'Грибы': '250 гр', 'Кресс': '50 гр (нарезанный мелко)', 'Сливки': '4 столовые ложки (густая)', 'Лимонный сок': '', 'Масло сливочное': '30 гр', 'Соль': ''}","[' Разогреть на сковороде сливочное масло, добавить очищенные нарезанные грибы и тушить на медленном огне.', ' Как только грибы станут мягкими, выключить и оставить остывать, добавить кресс-салат, сливки, лимонный сок и соль по вкусу.', ' У мягких дрожжевых булочек отрезать верх, слегка убрать среднюю часть и наполнить грибной начинкой. ', ' Накрыть срезанным верхом и украсить веточками кресс-салата, подавать на горячей посуде, оставшуюся грибную начинку можно использовать в качестве гарнира. ']",image
vengerskij_sup_guljash,Венгерский суп-гуляш,"['Сытный суп с особым вкусом гуляша, который ему придают перец, чеснок, лук и тушеная говядина', 'Время готовки: 120 минут', 'Количество порций: 6 ']","{'Говяжий бульон': '1 л (из кубика)', 'Сырой картофель': '750 гр (нарезанная на кубики)', 'Говядина передняя часть': '500 гр (нарезанная на небольшие кубики)', 'Помидоры': '400 гр (консервированные)', 'Паприка сладкая': '2 кофейные ложки (молотый)', 'Сметана': '6 столовых ложек', 'Подсолнечное масло': '3 столовые ложки', 'Гладкая мукф': '2 столовые ложки', 'Томатная паста': '2 столовые ложки', 'Чеснок': '1 шт (натертая долька)', 'Винный уксус': '1 столовая ложка', 'Лавровый лист': '3 шт', 'Лук': ' (мелко нарезанная)', 'Соль': '', 'Перец острый': '', 'Табаско': ''}","[' Красный перец обдать кипятком, почистить, нарезать.', ' В большой кастрюле обжарить на подсолнечном масле нарезанное кубиками мясо.', ' Добавить перец, лук, муку, сушеную сладкую паприку и обжаривать 2 минуты, постоянно помешивая.', ' Залить готовым бульоном, добавить помидоры, томатную пасту, лавровый лист, столовую ложку уксуса, чеснок, соль и перец.', ' Варить на слабом огне в течение приблизительно 1,5 часа, пока мясо не станет мягким.', ' Добавить картофель и варить еще некоторое время.', ' Вынуть лавровый лист, приправить несколькими каплями табаско, по вкусу добавить приправы.', ' Суп разлить в порционные миски, к каждой порции добавить ложку сметаны и посыпать нарезанным шнитт-луком.']",image
gnotchtchi_v_syrnom_souse,Гноччи в сырном соусе,"['Итальянские гноччи с соусом из трех видов сыра', 'Время готовки: 20 минут', 'Количество порций: 4 ']","{'Макароны Ньокки': '500 гр', 'Сыр рикотта': '250 гр', 'Сыр горгонзола': '70 гр', 'Лук': '4 столовые ложки (нарезанная)', 'Сыр пармезан': '40 гр (натертый)', 'Оливковое масло': '1 столовая ложка', 'Соль': '', 'Перец острый': ''}","[' Гноччи сварить (8-10 минут) в большой кастрюле в кипящей подсоленной воде с добавлением оливкового масла. Слить воду.', ' В небольшой кастрюле растворить, постоянно помешивая, риккоту и горгонзолу. Когда сыр начнет закипать, добавить пармезан, перемешать и снять с плиты. Слегка поперчить, но не добавлять соль. ', ' Гноччи перемешать с сырным соусом и разделить на порции, сверху посыпать нарезанным шнитт-луком. В качестве гарнира подходит салат из свежих овощей.']",image
govjadina_v_vine,Говядина в вине,"['Обжаренное мясо и бекон, тушеные в бульоне с овощами, вином, специями и томатной пастой', 'Время готовки: 160 минут', 'Количество порций: 4 ']","{'Говядина передняя часть': '1000 гр (нарезанная на 2-3 см кубики)', 'Сельдерей': '6 шт (нарезанный на кусочки)', 'Томатная паста': '500 гр (негустой)', 'Говяжий бульон': '500 мл', 'Морковь': '250 гр (нарезанная на полоски)', 'Красное вино': '200 мл', 'Бэкон': '100 гр (нарезанная на полоски)', 'Лук': '1 шт (большой ,нарезанный)', 'Гладкая мука': '50 гр', 'Подсолнечное масло': '2 столовые ложки', 'Чеснок': '1 шт (2 натертые дольки)', 'Майоран': '1 кофейная ложка', 'Соль': '', 'Перец острый': '', 'Петрушка': ' (на украшение)'}","[' В жаропрочной кастрюле на горячем подсолнечном масле обжарить нарезанное мясо и бекон в течение 2 минут. Затем вынуть все из кастрюли.', ' В кастрюле обжарить нарезанный лук. Пока еще лук не стал золотистым, добавить муку и обжарить вместе с луком.', ' Добавить бульон, томатную пасту и красное вино. Варить, помешивая, пока не загустеет.', ' Положить обратно в кастрюлю обжаренное мясо, добавить сельдерей, морковь, перец, майоран, чеснок и соль, довести до кипения.', ' Закрыть крышкой и тушить в разогретой духовке около 2 часов, пока мясо не станет мягким.', ' Вынуть кастрюлю из духовки, добавить по вкусу приправы и подавать блюдо горячим с петрушкой в качестве украшения. В качестве гарнира подходит рис, картофельные крокеты или домашний хлеб. ']",image
